,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
0,Senior Completion and Work Over Engineer,Airswift ,Doha,Full Time,Not specified,IT/Software Development,['Engineering - Telecom
1,Customer Excellence Lead,Si,Cairo,Full Time,Not specified,Customer Service/Support,['IT
2,Community Engagement Intern,HEC Paris in Qatar ,Doha,Full Time,Not specified,Customer Service/Support,['Marketing
3,Senior Engineer,AECOM ,Riyadh,Full Time,Not specified,IT/Software Development,['Engineering - Telecom
4,Spa Therapist,Cascades Hotel Soma Bay ,Cairo,Full Time,Not specified,Hospitality/Hotels/Food Services,['Medical
5,Senior Procurement Officer,UrbaCon Contracting & Trading Company ,Doha,Full Time,Not specified,Accounting/Finance,['Logistics
6,PMO director with 3,D4DS ,Riyadh,Full Time,Not specified,IT/Software Development,['Sales
7,Senior Associate,KPMG Fakhro ,Dubai,Full Time,Not specified,Human Resources,['Human Resources
8,Maintenance Technician,Hempel ,Dubai,Full Time,Not specified,Installation/Maintenance/Repair,['IT
9,Legumier,Four Seasons Hotels and Resorts ,Cairo,Full Time,Not specified,Customer Service/Support,['Hospitality
10,PMO specialist with 3,D4DS ,Riyadh,Full Time,Not specified,IT/Software Development,['Sales
11,Contact Centre Supervisor,Qatar Airways ,Doha,Full Time,Not specified,Customer Service/Support,['Operations
12,BIM modeler,SNC,Cairo,Full Time,Not specified,Creative/Design/Art,['IT
13,Senior Accountant,Roads and Transport Authority ,Dubai,Full Time,Not specified,Accounting/Finance,"['Accounting', 'Finance', 'Financial Analysis', 'Financial Management', 'Microsoft Excel', 'ERP', 'Microsoft Office', 'Commerce', 'Accounting Software']"
14,Head Housekeeper for UHNWF,apt resources ,Dubai,Full Time,Not specified,Administration,['Customer Service
15,Executive office support,Case In Point ,Riyadh,Full Time,Not specified,Administration,['Customer Service
16,Senior Engineer,Al Nahiya Group ,Abu Dhabi,Full Time,Not specified,IT/Software Development,['Engineering - Telecom
17,Maintenance Planner III,Eram Talent ,Riyadh,Full Time,Not specified,Installation/Maintenance/Repair,['IT
18,UI,Seena For Integrated Services LLC ,Cairo,Full Time,Not specified,Creative/Design/Art,['IT
19,Loyalty Marketing,Alshaya Trade ,Dubai,Full Time,Not specified,Business Development,['Customer Service
20,Safety Engineer IV,Eram Talent ,Riyadh,Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Quality', 'Engineering - Other', 'Engineering', 'Quality', 'HSE', 'Safety', 'Quality Control', 'Quality Assurance', 'Health &amp; Safety']"
21,Purchasing Office,Syarah ,Riyadh,Full Time,Not specified,Logistics/Supply Chain,['Operations
22,Senior Facilities Management Engineer,UrbaCon Contracting & Trading Company ,Doha,Full Time,Not specified,Engineering - Construction/Civil/Architecture,['Installation
23,Administration Assistant,Mace Group ,Riyadh,Full Time,Not specified,Administration,['Customer Service
24,Accountant internship,Enjaz Consultancy & Enterprise Management ,Cairo,Full Time,Not specified,Accounting/Finance,"['Human Resources', 'Marketing"
25,Jr. Parts Admin,Lucid Motors ,Riyadh,Full Time,Not specified,Administration,['IT
26,Dental Assistant,Mediclinic International ,Al Ain,Full Time,Not specified,Administration,['Customer Service
27,Junior Account Executive,Cheil ,Dubai,Full Time,Not specified,Customer Service/Support,['Marketing
28,Executive Lounge Waiter,Kempinski Hotels ,Dubai,Full Time,Not specified,Hospitality/Hotels/Food Services,"['duties', 'responsibilitiesreporting', 'executive', 'lounge', 'hotel']"
29,Group Finance Intern,Bayut | dubizzle ,Dubai,Full Time,Not specified,Accounting/Finance,"['Quality', 'Analyst"
30,Data Management Specialist,D4DS ,Riyadh,Full Time,Not specified,Administration,['IT
31,Processes and Policies with Finance experience,Case In Point ,Riyadh,Full Time,Not specified,Accounting/Finance,"['Human Resources', 'Operations"
32,Pr Advisor II,Tasnee ,Riyadh,Full Time,Not specified,IT/Software Development,['Marketing
33,Process Safety Engineer,Eram Talent ,Riyadh,Full Time,Not specified,Quality,['Engineering - Mechanical
34,Property Operations Manager,On,Cairo,Full Time,Not specified,Customer Service/Support,['Operations
35,Procurement Officer,Qatar Airways ,Doha,Full Time,Not specified,Administration,['Logistics
36,Senior Accountant,RATPDev Mobility Cairo ,Cairo,Full Time,Not specified,Accounting/Finance,"['Administration', 'Banking', 'Accounting', 'Finance', 'Financial Analysis', 'Financial Management', 'Microsoft Office', 'Commerce', 'ERP']"
37,Resource Analyst 3,Oracle ,Cairo,Full Time,Not specified,IT/Software Development,['Analyst
38,Account Manager,On,Cairo,Full Time,Not specified,Customer Service/Support,['Marketing
39,Banquet Houseman,Four Seasons Hotels and Resorts ,Cairo,Full Time,Not specified,Customer Service/Support,['Hospitality
40,Parts Graduate Program,Mansour Automotive ,Cairo,Full Time,Not specified,Administration,['IT
41,Principal Electrical Engineer,Worley Parsons ,Doha,Full Time,Not specified,Installation/Maintenance/Repair,['Sales
42,ER Coordination Specialist III,King Abdullah bin Abdelaziz University ,Riyadh,Full Time,Not specified,Operations/Management,['Medical
43,NDC Onboarding & Implementation Officer,Qatar Airways ,Doha,Full Time,Not specified,Administration,"['Human Resources', 'Engineering - Telecom"
44,Sales Executive,UrbaCon Contracting & Trading Company ,Doha,Full Time,Not specified,Business Development,['Customer Service
45,Clinical Audit and Compliance Specialist,Fursaty Careers/Learn to B HR Consultancy ,Dubai,Full Time,Not specified,6+ Yrs of Exp,['Medical
46,Marketing Retention Manager,On,Cairo,Full Time,Not specified,Marketing/PR/Advertising,['Sales
47,Operator I,Yanbu Aramco Sinopec Refining Company (YASREF) ,Yanbu,Full Time,Entry Level,IT/Software Development,['Engineering - Telecom
48,Executive Assistant,HAKA Resources ,Riyadh,Full Time,Not specified,Administration,['Customer Service
49,Maintenance Director,CATS Applicant Tracking System ,Riyadh,Full Time,Not specified,Administration,['Installation
