,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
0,Senior Completion and Work Over Engineer,Airswift ,"Doha, Qatar ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'information technology (it)', 'computer science', 'engineering', 'software development', 'software', 'mechanical engineering', 'english']"
1,Customer Excellence Lead,Si,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['IT/Software Development', 'Operations/Management', 'Customer Service', 'Customer Care', 'Customer Support', 'Management', 'Microsoft Excel', 'Computer Science', 'Engineering']"
2,Community Engagement Intern,HEC Paris in Qatar ,"Doha, Qatar ",Full Time,Not specified,Customer Service/Support,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Human Resources (HR)', 'E-marketing', 'Startup', 'Customer Service', 'Media']"
3,Senior Engineer - Mechanical,AECOM ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'Software Development', 'Computer Engineering', 'Mechanical Engineering']"
4,Spa Therapist,Cascades Hotel Soma Bay ,"Cairo, Egypt ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Medical/Healthcare', 'Sports and Leisure', 'healthcare', 'medical', 'spa', 'massage']"
5,Senior Procurement Officer,UrbaCon Contracting & Trading Company ,"Doha, Qatar ",Full Time,Not specified,Accounting/Finance,"['Logistics/Supply Chain', 'Purchasing/Procurement', 'Procurement', 'Purchasing', 'Microsoft Office', 'Logistics', 'Supply Chain', 'Business Administration', 'Finance']"
6,PMO director with 3-5 years of experience,D4DS ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'engineering', 'software development', 'project management', 'management', 'communication']"
7,Senior Associate-Talent Acquisition,KPMG Fakhro ,"Dubai, United Arab Emirates ",Full Time,Not specified,Human Resources,"['Human Resources (HR)', 'Recruitment', 'Talent Acquisition', 'Interviewing', 'Screening', 'Sourcing', 'Microsoft Office', 'Business Administration', 'Communication Skills']"
8,Maintenance Technician,Hempel ,"Dubai, United Arab Emirates ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Mechanical/Electrical', 'Maintenance', 'Information Technology (IT)', 'Technical Support', 'Mechanical Engineering', 'Technician', 'Engineering', 'Mobile Maintenance']"
9,Legumier - Zitouni,Four Seasons Hotels and Resorts ,"Cairo, Egypt ",Full Time,Not specified,Customer Service/Support,"['Hospitality/Hotels/Food Services', 'Operations/Management', 'hospitality', 'hotel', 'culinary', 'chef', 'restaurantslearn']"
10,PMO specialist with 3-5 years of experience,D4DS ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Sales/Retail', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'engineering', 'sales', 'project management', 'management', 'communication']"
11,Contact Centre Supervisor,Qatar Airways ,"Doha, Qatar ",Full Time,Not specified,Customer Service/Support,"['Operations/Management', 'Quality', 'Customer Care', 'Customer Service', 'Customer Support', 'Call Center', 'Banking', 'COPC', 'Communication']"
12,BIM modeler / Assistant lead designer - Electrical,SNC,"Cairo, Egypt ",Full Time,Not specified,Creative/Design/Art,"['IT/Software Development', 'Engineering - Telecom/Technology', 'information technology (it)', 'computer science', 'engineering', 'software development', 'design', 'management', 'english']"
13,Senior Accountant-Financial Review & Taxation,Roads and Transport Authority ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Accounting', 'Finance', 'Financial Analysis', 'Financial Management', 'Microsoft Excel', 'ERP', 'Microsoft Office', 'Commerce', 'Accounting Software']"
14,Head Housekeeper for UHNWF,apt resources ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Operations/Management', 'administration', 'admin', 'management', 'engineering', 'housekeeping', 'operations', 'recruitment']"
15,Executive office support,Case In Point ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Sales/Retail', 'Administration', 'Microsoft Office', 'Customer Service', 'Customer Support', 'Office Management', 'Secretary', 'Customer Care']"
